;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID31;ID32;ID33;ID34;ID35;ID36;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID59;ID60;ID61;ID62;ID63;ID64;ID65;ID66;ID67;ID68;ID69;ID70;ID71;ID72;ID73;ID74;ID75;ID77
ID12;0.992081;0.995352;0.995205;0.995785;0.993306;0.995579;0.990048;0.990082;0.972235;0.915589;0.000000;0.950586;0.991182;0.993710;0.993321;0.992316;0.992034;0.993848;0.993481;0.993048;0.992661;0.992192;0.998956;0.993426;0.989422;0.989133;0.991912;0.993249;0.994537;0.999473;0.992769;0.992488;0.992616;0.994424;0.994410;0.994011;0.994285;0.999967;0.991818;0.999434;0.999495;0.996772;0.999415;0.995634;0.994652;0.999404;0.995743;0.993657;0.999487;0.991806;0.990365;0.995203;0.993933;0.989143;0.999240;0.994407;0.996554;0.990740;0.991904;0.999274;0.990604;0.991574;0.990721;0.992878
ID13;0.969774;0.978807;0.983584;0.985268;0.975976;0.978750;0.945202;0.951218;0.895049;0.951036;0.950586;0.000000;0.982312;0.989607;0.987820;0.988252;0.985505;0.990220;0.998036;0.986800;0.987446;0.985805;0.995102;0.989212;0.978106;0.977979;0.985611;0.990945;0.985036;0.999198;0.985470;0.985090;0.980089;0.989300;0.987903;0.987087;0.988924;0.999874;0.984883;0.998357;0.997171;0.992340;0.997571;0.989839;0.987842;0.996737;0.990159;0.986301;0.996699;0.982704;0.986485;0.988571;0.984488;0.983464;0.996851;0.987099;0.991884;0.980805;0.981349;0.995191;0.978678;0.978540;0.979262;0.990942
ID14;0.981868;0.987740;0.990580;0.994165;0.985019;0.989088;0.988458;0.982712;0.964569;0.984927;0.991182;0.982312;0.000000;0.937021;0.932825;0.921093;0.924730;0.942352;0.996469;0.898355;0.908481;0.933265;0.990566;0.946724;0.904984;0.904233;0.926124;0.943447;0.974590;0.999578;0.920730;0.946795;0.920233;0.965235;0.971111;0.964415;0.962382;0.999489;0.891406;0.999755;0.993286;0.977053;0.995618;0.963696;0.943846;0.994840;0.973411;0.948968;0.997748;0.908865;0.893182;0.950970;0.932620;0.850355;0.991030;0.960645;0.975066;0.902800;0.934390;0.997280;0.905927;0.887576;0.863052;0.935669
ID15;0.989068;0.993200;0.993502;0.995816;0.990470;0.993548;0.992882;0.989895;0.982510;0.990964;0.993710;0.989607;0.937021;0.000000;0.881447;0.797283;0.799931;0.840103;0.997485;0.948372;0.913798;0.832399;0.891761;0.849155;0.947202;0.951485;0.956953;0.962332;0.985722;0.999415;0.949305;0.970490;0.962153;0.975310;0.972794;0.924066;0.815610;0.999422;0.947245;0.999862;0.951802;0.935391;0.956443;0.878327;0.866602;0.954361;0.967544;0.929207;0.991386;0.868531;0.800154;0.899077;0.939034;0.888968;0.958224;0.884197;0.914103;0.820892;0.917514;0.986228;0.910267;0.925791;0.924823;0.857335
ID16;0.988210;0.992502;0.992825;0.995430;0.989815;0.992794;0.992278;0.989058;0.980602;0.990594;0.993321;0.987820;0.932825;0.881447;0.000000;0.846792;0.846619;0.883755;0.997782;0.943732;0.918634;0.864416;0.930476;0.889120;0.944208;0.947092;0.956761;0.962820;0.984603;0.999348;0.954008;0.968197;0.957891;0.973646;0.970532;0.929276;0.879709;0.999469;0.943488;0.999819;0.966723;0.944012;0.966394;0.908443;0.891516;0.962410;0.965915;0.931811;0.990447;0.883646;0.854967;0.912572;0.938196;0.893663;0.968664;0.908782;0.932589;0.860155;0.926240;0.987714;0.914438;0.922558;0.921596;0.901014
ID17;0.985887;0.992676;0.992836;0.995383;0.989455;0.993012;0.990468;0.987577;0.980580;0.989150;0.992316;0.988252;0.921093;0.797283;0.846792;0.000000;0.746698;0.785626;0.996867;0.930233;0.886563;0.788073;0.883587;0.814471;0.926250;0.931235;0.939734;0.937307;0.982692;0.999119;0.940529;0.960753;0.956326;0.967547;0.966692;0.918156;0.806826;0.999409;0.931791;0.999833;0.965229;0.940688;0.962893;0.888757;0.860169;0.959381;0.960852;0.913854;0.989884;0.852382;0.699424;0.900929;0.940271;0.836882;0.968368;0.891536;0.925533;0.808789;0.921442;0.988932;0.907987;0.921834;0.917415;0.774371
ID18;0.986242;0.990168;0.991337;0.994807;0.986949;0.991148;0.990007;0.987218;0.974535;0.988529;0.992034;0.985505;0.924730;0.799931;0.846619;0.746698;0.000000;0.797874;0.997522;0.935470;0.888411;0.754065;0.855130;0.797581;0.934936;0.937987;0.951440;0.959060;0.984079;0.999434;0.944743;0.965399;0.946987;0.967133;0.953464;0.872123;0.741464;0.999187;0.931790;0.999791;0.934325;0.895172;0.936234;0.814309;0.795683;0.927814;0.938589;0.880460;0.984391;0.805616;0.757339;0.838494;0.908897;0.864891;0.942276;0.820473;0.866358;0.744940;0.881424;0.979570;0.872702;0.897100;0.901497;0.834232
ID19;0.989346;0.993768;0.993997;0.996307;0.991326;0.993923;0.993048;0.990192;0.984138;0.991270;0.993848;0.990220;0.942352;0.840103;0.883755;0.785626;0.797874;0.000000;0.997773;0.948472;0.912694;0.828297;0.894137;0.845808;0.947922;0.951271;0.957061;0.957201;0.987222;0.999423;0.956263;0.971282;0.966107;0.975172;0.972345;0.925117;0.825346;0.999453;0.948263;0.999856;0.961881;0.940965;0.960912;0.889516;0.872999;0.958426;0.966396;0.928058;0.990978;0.874025;0.789728;0.906760;0.946730;0.887239;0.965789;0.893446;0.923905;0.832166;0.926618;0.988154;0.920143;0.936613;0.935692;0.844345
ID20;0.997854;0.999065;0.998900;0.999137;0.998803;0.998814;0.998290;0.998489;0.998484;0.992167;0.993481;0.998036;0.996469;0.997485;0.997782;0.996867;0.997522;0.997773;0.000000;0.997283;0.997666;0.997373;0.998722;0.997878;0.997021;0.997222;0.997632;0.997534;0.998495;0.998840;0.997705;0.998036;0.998210;0.998502;0.998594;0.998304;0.998388;0.999983;0.997173;0.999893;0.999576;0.999251;0.999617;0.998912;0.998472;0.999514;0.998943;0.998392;0.999582;0.997947;0.996370;0.998861;0.998736;0.996467;0.999267;0.998729;0.999253;0.997850;0.998342;0.999486;0.997940;0.998160;0.998004;0.997070
ID21;0.987427;0.992015;0.993003;0.995320;0.989333;0.992873;0.991727;0.987673;0.975247;0.987945;0.993048;0.986800;0.898355;0.948372;0.943732;0.930233;0.935470;0.948472;0.997283;0.000000;0.890920;0.939474;0.986949;0.951847;0.909649;0.906503;0.925582;0.944610;0.980215;0.999472;0.922430;0.950849;0.916297;0.966925;0.975846;0.970160;0.968927;0.999365;0.883323;0.999820;0.991908;0.980514;0.995389;0.967412;0.947113;0.993812;0.978174;0.957622;0.997090;0.918811;0.896841;0.953357;0.940913;0.860608;0.991737;0.968696;0.979099;0.915593;0.946829;0.997253;0.922999;0.898444;0.872925;0.945691
